正規化後罪名(去未遂),次數,疑似雜訊,原始寫法範例(最多3個)
未實際繳納股款罪,2,,前段之未實際繳納股款罪 | 公司法第九條第一項前段之未實際繳納股款罪
如附表一所示之各罪,2,是,如附表一所示之各罪
使公務登載不實罪,2,,使公務登載不實罪
及第3項之販賣第三級毒品罪,2,,及第3項之販賣第三級毒品未遂罪
在公眾得出入之場所聚集三人以上實施強暴在場助勢罪,2,,前段之在公眾得出入之場所聚集三人以上實施強暴在場助勢罪 | 在公眾得出入之場所聚集三人以上實施強暴在場助勢罪
非法以電腦相關設備製作不實財產權得喪紀錄取財罪,2,,非法以電腦相關設備製作不實財產權得喪紀錄取財罪
如附表一編號1至4所示各罪,2,是,如附表一編號1至4所示各罪
第41條或第42條之罪,2,,第41條或第42條之罪
為一獨立之犯罪,2,是,：按稅捐稽徵法第43條第1項為一獨立之犯罪
該條之罪,2,,該條之罪
填製不實會計憑證及幫助他人逃漏稅捐罪,2,,填製不實會計憑證及幫助他人逃漏稅捐罪
上開各罪,2,,上開各罪
竊錄身體隱私部位罪,2,,竊錄身體隱私部位罪
如附表三編號1至4主文欄所示之肆罪,2,是,如附表三編號1至4主文欄所示之肆罪
圖利使大陸地區人民非法進入臺灣地區罪,2,,圖利使大陸地區人民非法進入臺灣地區罪及刑法第214條之使公務員登載不實文書罪 | 臺灣地區與大陸地區人民關係條例第七十九條第二項之圖利使大陸地區人民非法進入臺灣地區罪
以他法致生陸路往來危險罪,2,,以他法致生陸路往來危險罪及同法第304條第1項之強制罪 | 以他法致生陸路往來危險罪
過失致人受傷罪,2,,前段之過失致人受傷罪
罪所得及附表三所示之供犯罪,2,是,罪所得及附表三所示之供犯罪
竊佔罪,2,,竊佔罪
意型態、犯罪,2,,意型態、犯罪
如附表四編號1至8主文欄所示之捌罪,2,是,如附表四編號1至8主文欄所示之捌罪
於夜間在公共場所未經許可攜帶刀械罪,2,,於夜間在公共場所未經許可攜帶刀械罪
期約對價而無正當理由收集他人向金融機構申請開立之帳戶罪,2,,期約對價而無正當理由收集他人向金融機構申請開立之帳戶罪 | 洗錢防制法第十五條之一第一項第四款之期約對價而無正當理由收集他人向金融機構申請開立之帳戶罪
各罪之不法與罪,2,,各罪之不法與罪
罪類型相同、行為態樣、各罪,2,是,罪類型相同、行為態樣、各罪
罪之危害情況、刑罰規範之目的、所犯數罪,2,是,罪之危害情況、刑罰規範之目的、所犯數罪
後已將本件犯罪,2,是,後已將本件犯罪
雖同為施用第二級毒品罪,2,,雖同為施用第二級毒品罪
罪事實欄一（一）部分無罪,2,是,罪事實欄一（一）部分無罪
如本院附表一「罪,2,是,如本院附表一「罪
在公共場所賭博財物罪,2,,前段之在公共場所賭博財物罪及同法第268條後段之意圖營利聚眾賭博罪 | 前段之在公共場所賭博財物罪
本件追加起訴有期徒刑以上之罪,2,,本件追加起訴有期徒刑以上之罪
均為施用毒品犯罪,2,,均為施用毒品犯罪
如附表三編號1至5主文欄所示之伍罪,2,是,如附表三編號1至5主文欄所示之伍罪
散布少年性影像罪,2,,散布少年性影像罪及刑法第235條第1項散布猥褻影像罪 | 兒童及少年性剝削防制條例第38條第1項散布少年性影像罪
與未滿16歲之人為有對價之性交行為罪,2,,與未滿16歲之人為有對價之性交行為罪
攜帶兇器踰越安全設備竊盜罪,2,,攜帶兇器踰越安全設備竊盜罪
違反同法第20條第1項之非公務機關非法利用個人資料罪,2,,加重誹謗罪及個人資料保護法第41條第1項之違反同法第20條第1項之非公務機關非法利用個人資料罪 | 無故取得他人電腦相關設備之電磁紀錄罪及個人資料保護法第41條之違反同法第20條第1項之非公務機關非法利用個人資料罪
收回股款罪,2,,後段之收回股款罪 | 公司法第九條第一項後段之收回股款罪
引誘少年自行拍攝性影像罪,2,,引誘少年自行拍攝性影像罪
如附表一編號1至9所示各罪,2,是,如附表一編號1至9所示各罪
罪行為之不法、罪,2,是,罪行為之不法、罪
過失重傷害罪,2,,後段過失重傷害罪 | 過失重傷害罪
販賣未經核准擅自輸入之醫療器材罪,2,,販賣未經核准擅自輸入之醫療器材罪 | 醫療器材管理法第六十二條第一項之販賣未經核准擅自輸入之醫療器材罪
加害人屆期不履行罪,2,,加害人屆期不履行罪
如附表編號1至8「罪,2,是,如附表編號1至8「罪
放火燒燬住宅等以外之他人所有物罪,2,,放火燒燬住宅等以外之他人所有物罪
汽車駕駛人駕駛執照經註銷駕車過失傷害罪,2,,汽車駕駛人駕駛執照經註銷駕車過失傷害罪
規定部分：被告本件犯行係對正犯資以助力遂行一般洗錢罪,2,,規定部分：被告本件犯行係對正犯資以助力遂行一般洗錢罪
保全犯罪,2,,罪、保全犯罪
同條第2項之詐欺得利罪,2,,詐欺取財罪及同條第2項之詐欺得利罪
如附表三編號1至12所示之拾貳罪,2,是,如附表三編號1至12所示之拾貳罪
如附表編號1至3所示之參罪,2,是,如附表編號1至3所示之參罪
行使業務上登載不實文書罪,2,,行使業務上登載不實文書罪
、第三項之妨害投標罪,2,,政府採購法第八十七條第六項、第三項之妨害投標未遂罪
汽車駕駛人行近行人穿越道不依規定讓行人優先通行而過失傷害罪,2,,汽車駕駛人行近行人穿越道不依規定讓行人優先通行而過失傷害罪
無故入侵電腦設備罪,2,,無故入侵電腦設備罪
無故變更電磁紀錄罪,2,,無故變更電磁紀錄罪
無正當理由交付帳戶合計三個以上予他人使用罪,2,,無正當理由交付帳戶合計三個以上予他人使用罪 | 洗錢防制法第二十二條第三項第二款之無正當理由交付帳戶合計三個以上予他人使用罪
對於違背職務之行為收受賄賂罪,2,,對於違背職務之行為收受賄賂罪
公務員與非公務員共同犯對於主管及監督事務圖利罪,2,,公務員與非公務員共同犯對於主管及監督事務圖利罪
未經許可而持有非制式手槍等罪,2,,未經許可而持有非制式手槍等罪
無正當理由交付金融機構帳戶合計三個以上予他人使用罪,2,,無正當理由交付金融機構帳戶合計三個以上予他人使用罪
圖利供給賭博場所罪或圖利聚眾賭博罪,2,,圖利供給賭博場所罪或圖利聚眾賭博罪
無故入侵他人電腦相關設備罪,2,,無故入侵他人電腦相關設備罪及同法第315條之1第2款之無故以照相竊錄他人非公開談話罪 | 無故入侵他人電腦相關設備罪
對醫事人員以強暴脅迫之方法妨害其執行醫療業務罪,2,,對醫事人員以強暴脅迫之方法妨害其執行醫療業務罪 | 醫療法第一○六條第三項之對醫事人員以強暴脅迫之方法妨害其執行醫療業務罪
不正由收費設備得利罪,2,,不正由收費設備得利罪
如本判決末附表編號1所示之罪,2,是,如本判決末附表編號1所示之罪
如本判決末附表編號2所示之罪,2,是,如本判決末附表編號2所示之罪
如本判決末附表編號3所示之罪,2,是,如本判決末附表編號3所示之罪
如本判決末附表編號4所示之罪,2,是,如本判決末附表編號4所示之罪
如本判決末附表編號5所示之罪,2,是,如本判決末附表編號5所示之罪
冒用身分而使用他人遺失之國民身分證罪,2,,後段之冒用身分而使用他人遺失之國民身分證罪 | 戶籍法第七十五條第三項後段之冒用身分而使用他人遺失之國民身分證罪
對主管事務圖利罪,2,,對主管事務圖利罪
圖利引誘性交罪,2,,前段之圖利引誘性交罪 | 圖利引誘性交罪
而論以一罪,2,,而論以一罪
罪所得：1、按犯罪,2,是,罪所得：1、按犯罪
洗錢未遂等罪,2,,後段之洗錢未遂等罪
本件附表編號1至4所示洗錢罪,2,是,本件附表編號1至4所示洗錢罪
行所隱匿或掩飾之詐欺犯罪,2,,行所隱匿或掩飾之詐欺犯罪
行所犯三人以上共同詐欺取財罪,2,,行所犯三人以上共同詐欺取財罪
附表編號1至5「罪,2,是,附表編號1至5「罪
第十九條、第二十條之罪,2,,第十九條、第二十條之罪
後均未自動繳交全部犯罪,2,,後均未自動繳交全部犯罪
、第1項第2款等罪,2,,刑法第339條之4第2項、第1項第2款等罪
行與被告所犯其他犯行間具有裁判上一罪,2,,行與被告所犯其他犯行間具有裁判上一罪
罪危害防制條例規定：（1）按犯詐欺犯罪,2,是,罪危害防制條例規定：（1）按犯詐欺犯罪
三人以上共同以網際網路為傳播工具向公眾散布而犯詐欺取財罪,2,,三人以上共同以網際網路為傳播工具向公眾散布而犯詐欺取財罪
行使公務員登載不實公文書罪,2,,行使公務員登載不實公文書罪
非法以電腦製作不實財產權取得紀錄得利罪,2,,非法以電腦製作不實財產權取得紀錄得利罪
上開參與犯罪,2,,上開參與犯罪
前開3人以上共同詐欺取財罪,2,,前開3人以上共同詐欺取財罪
非法經營期貨顧問事業及其他期貨服務事業罪,2,,非法經營期貨顧問事業及其他期貨服務事業罪 | 期貨交易法第一百十二條第五項第五款之非法經營期貨顧問事業及其他期貨服務事業罪
無正當理由交付合計三個以上帳戶罪,2,,無正當理由交付合計三個以上帳戶罪 | 洗錢防制法第二十二條第三項第二款之無正當理由交付合計三個以上帳戶罪
以不正方法由自動付款設備得利罪,2,,以不正方法由收費設備得利罪及同法第339條之2第2項之以不正方法由自動付款設備得利罪 | 以不正方法由自動付款設備得利罪
非法由收費設備取財罪,2,,非法由收費設備取財罪 | 非法由收費設備取財罪及同法第359條之無故變更他人電腦相關設備之電磁紀錄罪
所稱之犯罪,2,是,罪防制條例第2條第1項所稱之犯罪
罪危害防制條例：按犯詐欺犯罪,2,是,罪危害防制條例：按犯詐欺犯罪
罪客體）因非屬犯罪,2,是,罪客體）因非屬犯罪
、第216條之行使偽造公文書、同法第339條之2第1項以不正方法由自動付款設備取得他人財物罪,2,,刑法第211條、第216條之行使偽造公文書、同法第339條之2第1項以不正方法由自動付款設備取得他人財物罪
後於偵查中及本院準備程序、審判期日均自白詐欺犯罪,2,,後於偵查中及本院準備程序、審判期日均自白詐欺犯罪
非法以電腦相關設備製作不實財產權得喪變更紀錄取財罪,2,,非法以電腦相關設備製作不實財產權得喪變更紀錄取財罪 | 無故變更他人電腦相關設備之電磁紀錄罪及同法第339條之3第1項之非法以電腦相關設備製作不實財產權得喪變更紀錄取財罪
如附表二「罪,2,是,如附表二「罪
所發之犯罪被害人保護命令罪,2,,無正當理由違反檢察官依同法第35條所發之犯罪被害人保護命令罪 | 所發之犯罪被害人保護命令罪
未達1億元之一般洗錢罪,2,,後段未達1億元之一般洗錢罪
損壞公務員職務上所掌管之物品罪,2,,損壞公務員職務上所掌管之物品罪
對依法執行職務之公務員施強暴罪,2,,對依法執行職務之公務員施強暴罪
行係從一重之三人以上共同詐欺取財罪,2,,行係從一重之三人以上共同詐欺取財未遂罪 | 行係從一重之三人以上共同詐欺取財罪
服用毒品致不能安全駕駛而駕駛動力交通工具罪,2,,服用毒品致不能安全駕駛而駕駛動力交通工具罪
非銀行不得經營收受存款業務罪,2,,前段之非銀行不得經營收受存款業務罪
後態度、前科素行、犯罪,2,,後態度、前科素行、犯罪
規定之「犯罪,2,,罪防制條例第2條規定之「犯罪
行之不法與罪,2,,行之不法與罪
利用網際網路對公眾犯詐欺取財罪,2,,利用網際網路對公眾犯詐欺取財罪
對連署人交付賄賂罪,2,,對連署人交付賄賂罪 | 總統副總統選舉罷免法第八十七條第一項第二款之對連署人交付賄賂罪
未經許可寄藏非制式手槍罪,2,,未經許可寄藏非制式手槍罪
詐欺取財及洗錢部分均無罪,2,,詐欺取財及洗錢部分均無罪
將國民身分證交付他人以供冒名使用罪,2,,前段之將國民身分證交付他人以供冒名使用罪 | 將國民身分證交付他人以供冒名使用罪
偽造幣券罪,2,,偽造幣券罪 | 妨害國幣懲治條例第3條第1項之偽造幣券罪
本件有期徒刑以上刑之罪,2,,本件有期徒刑以上刑之罪
及第4項之販賣第四級毒品罪,2,,及第4項之販賣第四級毒品未遂罪
如附表編號1至2所示各罪,2,是,如附表編號1至2所示各罪
如附表一主文欄所示各罪,2,是,如附表一主文欄所示各罪
販賣侵害商標權之商品罪,2,,後段之販賣侵害商標權之商品罪 | 商標法第九十七條後段販賣侵害商標權之商品罪
意圖使女子與他人為性交之行為而容留以營利之罪,2,,前段之意圖使女子與他人為性交之行為而容留以營利之罪
無故錄影他人性影像罪,2,,無故錄影他人性影像罪
結夥三人以上而犯竊盜罪,2,,結夥三人以上而犯竊盜罪
詐欺取財及幫助洗錢罪,2,,幫助詐欺取財及幫助洗錢罪
罪所得（新臺幣）」欄所示之犯罪,2,是,罪所得（新臺幣）」欄所示之犯罪
對連署人交付賄賂使其為特定被連署人連署罪,2,,對連署人交付賄賂使其為特定被連署人連署罪 | 總統副總統選舉罷免法第八十七條第一項第二款之對連署人交付賄賂使其為特定被連署人連署罪
罪危害防制條例規定：按犯詐欺犯罪,2,是,罪危害防制條例規定：按犯詐欺犯罪
